CIK,Ticker,Company Name,Sector,Year,filingDate,form,AI Washing Index_flash1_5,AI Washing Index_flash2_5,AI Washing Index_gpt4o,Disclosure Sentiment_flash1_5,Disclosure Sentiment_flash2_5,Disclosure Sentiment_gpt4o,Forward-Looking_flash1_5,Forward-Looking_flash2_5,Forward-Looking_gpt4o,Key AI Terms_flash1_5,Key AI Terms_flash2_5,Key AI Terms_gpt4o,Overall Summary_flash1_5,Overall Summary_flash2_5,Overall Summary_gpt4o,Risk - External Threats_flash1_5,Risk - External Threats_flash2_5,Risk - External Threats_gpt4o,Risk - Non-Adoption_flash1_5,Risk - Non-Adoption_flash2_5,Risk - Non-Adoption_gpt4o,Risk - Own Adoption_flash1_5,Risk - Own Adoption_flash2_5,Risk - Own Adoption_gpt4o,Strategic Depth_flash1_5,Strategic Depth_flash2_5,Strategic Depth_gpt4o,Talent & Investment_flash1_5,Talent & Investment_flash2_5,Talent & Investment_gpt4o
0000001750,AIR,AAR CORP,Industrials,2020,2020-07-21,10-K,E,E,E,C,E,C,D,D,D,,,,"AAR CORP shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on aviation services and manufacturing, with no mention of AI integration into its core operations or future plans, although there is some discussion of talent acquisition and retention.","AAR CORP's 10-K filing indicates no explicit engagement with Artificial Intelligence. The company does not mention AI in its strategic initiatives, operational discussions, or specific risk factors, beyond a general acknowledgment of the need to keep pace with technological developments.","AAR CORP demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, reflecting a reactive rather than proactive stance in the context of AI adoption.",C,C,C,C,B,C,C,C,C,E,E,E,B,D,D
0000001750,AIR,AAR CORP,Industrials,2021,2021-07-21,10-K,E,E,E,E,E,C,D,D,D,,,,"AAR CORP shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on mitigating risks related to its operations within the aviation industry, particularly concerning cybersecurity and the impact of geopolitical events, but there is no mention of AI-specific risks or opportunities.","AAR CORP's 10-K filing does not contain any explicit mentions of Artificial Intelligence, machine learning, or related advanced technologies. The company discusses general technological developments and cybersecurity risks, but these are not framed in an AI context, indicating a lack of disclosed AI engagement or preparedness in this document.","AAR CORP demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in AI integration and planning.",B,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000001750,AIR,AAR CORP,Industrials,2022,2022-07-21,10-K,E,E,E,E,E,C,D,D,D,,,,"AAR CORP shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on aviation services and faces various risks related to its operations, but there is no mention of AI-specific risks or opportunities.","AAR CORP's 10-K filing does not explicitly mention Artificial Intelligence or related advanced technologies in its risk factors or MD&A. The company acknowledges general technological developments and cybersecurity threats, but these are not specifically framed in an AI context, indicating a very low level of disclosed AI engagement or preparedness.","AAR CORP demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in AI integration and planning.",B,C,C,C,B,C,C,C,C,E,E,E,D,D,D
0000001750,AIR,AAR CORP,Industrials,2023,2023-07-18,10-K,E,E,C,C,E,C,D,D,D,,,"MRO, digital solutions, software applications","AAR Corp shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of cybersecurity risks and the acquisition of Trax (fleet management software), these don't directly indicate a strategic AI focus.","AAR CORP's 10-K filing does not explicitly mention Artificial Intelligence or related terms. While the company is investing in 'digital solutions' and software through an acquisition, its disclosures do not provide specific insights into its AI strategy, risks, or future plans.","AAR CORP demonstrates a cautious approach towards AI integration, with some strategic investments in technology but lacks a clear, detailed AI strategy or future plans.",B,C,C,C,C,C,C,C,C,E,E,D,D,D,D
0000002488,AMD,ADVANCED MICRO DEVICES INC,Information Technology,2020,2021-01-29,10-K,E,A,C,C,A,B,D,B,A,,,"artificial intelligence, machine learning","AMD's 10-K filing reveals no explicit AI strategy or initiatives.  While there's mention of technological advancements and R&D investments, no specific AI-related projects or plans are detailed, suggesting a limited current engagement with AI.","AMD demonstrates a strong foundational posture for AI through its explicit strategic focus on High-Performance Computing (HPC) and the development of products like the MI100 GPU accelerator, which are dedicated to HPC workloads. While the term ""AI"" is not explicitly used, the company's investments and product roadmap in HPC position it as a key enabler for AI technologies, indicating a substantive and positive engagement with the underlying infrastructure required for AI.","Advanced Micro Devices Inc demonstrates a strong commitment to AI through significant investments in product development and strategic acquisitions, although it faces competitive pressures and operational risks that could impact its AI initiatives.",C,B,B,C,B,C,C,C,C,E,A,A,D,D,A
0000002488,AMD,ADVANCED MICRO DEVICES INC,Information Technology,2021,2022-02-03,10-K,E,A,B,C,A,B,D,D,A,"AI, Artificial Intelligence, Machine Learning, AI/ML, HPC","AI, AI/ML, Artificial Intelligence/Machine Learning","artificial intelligence, AI, machine learning","AMD shows a moderate level of AI preparedness.  While they are investing in AI-related technologies like accelerators for AI/ML workloads, their overall strategic depth and disclosure sentiment regarding AI are limited, with no explicit future AI plans mentioned.","AMD demonstrates product-level integration of AI by developing accelerators optimized for AI/ML workloads, indicating a positive and substantive approach to AI in its offerings. However, the disclosures lack explicit details on internal AI strategy, future AI development plans, or specific risks related to its own AI adoption or external AI threats, focusing more on general technological competitiveness.","Advanced Micro Devices Inc demonstrates a strong commitment to AI through its product offerings and strategic investments, although it faces significant competitive and operational risks that could impact its AI initiatives.",C,C,B,B,B,C,C,C,C,C,B,A,C,D,B
0000002488,AMD,ADVANCED MICRO DEVICES INC,Information Technology,2022,2023-02-27,10-K,E,A,B,C,A,B,C,C,A,"artificial intelligence, AI, machine learning, deep learning, neural networks, computer vision, natural language processing, AI inference, exascale-class technology, high performance computing (HPC), ROCm","artificial intelligence, AI, AI inference","artificial intelligence, AI, machine learning","AMD's AI preparedness is currently limited, with no explicit AI strategy or future plans mentioned in the provided 10-K filing.  While the company's acquisitions suggest a potential future interest in AI, the current focus remains on core semiconductor technologies and market competition.","AMD exhibits strong AI preparedness, positioning AI as a core strategic enabler through its product portfolio and recent acquisitions, and maintaining a clearly positive disclosure sentiment. The company explicitly acknowledges competitive threats in AI-relevant markets but does not detail specific risks from its own AI adoption or explicit future AI investment plans beyond current product roadmaps.","Advanced Micro Devices Inc. demonstrates a strong commitment to AI through strategic acquisitions and product innovations, positioning itself well in the competitive landscape despite facing significant market challenges.",C,B,C,C,A,B,C,C,B,E,A,A,B,C,A
0000002488,AMD,ADVANCED MICRO DEVICES INC,Information Technology,2023,2024-01-31,10-K,B,A,B,B,B,B,A,A,A,"artificial intelligence, AI, machine learning, generative AI, high performance computing, HPC, AI inference, AI training, Ryzen AI processors, AMD Instinct data center accelerators, deep learning","Artificial Intelligence, AI, generative AI, AI accelerators, AI Data Center solutions, AI models, AI software, AI software stack, AI solutions, AI hardware, AI business, AI teams, AI capabilities, AI technology solutions, AI adoption, AI market, AI training, Pervasive AI strategy, Ryzen AI processors, machine learning","artificial intelligence, AI, generative AI, AI accelerators, AI solutions","AMD demonstrates a significant AI strategic depth, with substantial investments in AI-focused hardware and software, and a clear three-pronged strategy.  However, while positive about its AI prospects, the company also acknowledges risks associated with AI adoption and the competitive landscape.","Advanced Micro Devices (AMD) demonstrates a strong and proactive AI posture, integrating AI as a core strategic enabler with a detailed multi-generational product and software roadmap. The company is making significant investments in AI through R&D, increased headcount, and strategic acquisitions, while also explicitly acknowledging and detailing various AI-related risks, including competitive threats and the responsible use of AI.","Advanced Micro Devices Inc. demonstrates a strong commitment to AI through strategic product launches and investments, although it faces competitive pressures and regulatory challenges in the evolving AI landscape.",B,A,B,A,A,A,B,A,B,A,A,A,A,A,A
0000003197,CECO,CECO ENVIRONMENTAL CORP,Industrials,2020,2021-03-03,10-K,E,E,C,C,E,C,D,D,D,,,,"CECO's 10-K filing reveals no explicit AI strategy or adoption, but there's a strong focus on technological innovation and operational excellence, suggesting potential future AI integration.  The company emphasizes data-driven decision-making and continuous improvement, which could lay the groundwork for future AI initiatives.","CECO Environmental Corp.'s 10-K filing does not contain any explicit mentions of Artificial Intelligence, machine learning, or related advanced technologies in its strategic plans, operations, risk factors, or talent development initiatives. The company's disclosures focus on traditional industrial solutions, indicating no current public engagement with AI as a strategic component.","CECO Environmental Corp demonstrates a cautious approach towards AI, with limited explicit references to AI strategies or investments, but shows a commitment to innovation and operational excellence in its core business areas.",B,C,C,B,C,C,C,C,C,E,E,D,D,D,D
0000003197,CECO,CECO ENVIRONMENTAL CORP,Industrials,2021,2022-03-14,10-K,E,E,C,C,E,C,D,D,D,,,,"CECO's 10-K filing reveals no explicit AI strategy or adoption, but there's a strong focus on technological innovation and talent development, suggesting potential future AI integration.  The company's operations are heavily reliant on technology and data, creating a foundation for future AI implementation.","CECO Environmental Corp. currently demonstrates no explicit engagement with Artificial Intelligence in its strategic planning, operations, or product development as disclosed in this filing. While the company acknowledges general technological risks, there is no indication of AI-specific talent focus, investment, or future plans.","CECO Environmental Corp demonstrates a cautious approach towards AI, with limited explicit strategies or discussions on AI adoption, but acknowledges the importance of technology in enhancing operational efficiency and environmental solutions.",B,C,C,B,B,C,C,C,C,E,E,D,B,D,D
